,Corr_Pearson,Corr_Rank,Gini_Importance,Gini_Rank,Cramers_V,Cramers_Rank,Avg_Rank
Age,0.25011918396583593,1.0,0.34062094522605363,1.0,0.2605601094301374,1.0,1.0
GenHlth,0.21274227664350293,2.0,0.20328572028713757,2.0,0.22487463259526447,2.0,2.0
Stroke,0.18826797510115256,3.0,0.16129691248710928,3.0,0.18823047582243327,3.0,3.0
DiffWalk,0.18267670237171837,4.0,0.06700789621414821,5.0,0.18265551444413336,4.0,4.333333333333333
Diabetes,0.16435422778570627,5.0,0.06809309469729331,4.0,0.16433186298400507,5.0,4.666666666666667
PhysHlth,0.14264899870622266,6.0,0.032560683918654874,7.0,,,6.5
Smoker,0.09632324340358028,7.0,0.018752498278091848,8.0,0.09630653015552633,6.0,7.0
Sex,0.07221486436203049,9.0,0.05730157312349822,6.0,0.0721983912482845,8.0,7.666666666666667
PhysActivity,0.0801082334916498,8.0,0.0035038120599012834,13.0,0.0800897637424529,7.0,9.333333333333334
HvyAlcoholConsump,0.07125722664481166,10.0,0.004541208957428708,12.0,0.07123316510283126,9.0,10.333333333333334
BMI,0.024811172810317864,12.0,0.018631990245968573,9.0,,,10.5
Education,0.050564183513723146,11.0,0.010212673374021855,11.0,0.052952776727311954,10.0,10.666666666666666
MentHlth,0.0029913369646365194,13.0,0.014190991130692526,10.0,,,11.5
